clause_id,policy_id,policy_number,insurance_type,section_type,page_number,clause_text
hc-011,POL-HEALTH-GOLD,HG-2023-001,HEALTH,WAITING_PERIODS,10,"The following conditions are subject to a 24-month waiting period from policy inception: Hernia, cataract, benign prostatic hypertrophy, sinusitis, tonsillitis, varicose veins, prolapsed intervertebral disc."
hc-012,POL-HEALTH-GOLD,HG-2023-001,HEALTH,MAIN_POLICY,8,"Day care procedures listed in Schedule C are covered without requiring 24-hour hospitalisation, provided they are performed at a registered day care centre or hospital."
hc-013,POL-HEALTH-GOLD,HG-2023-001,HEALTH,EXCLUSIONS,16,"Treatment for alcoholism, drug abuse, and any condition arising from consumption of alcohol or drugs is excluded from coverage under this policy."
hc-014,POL-HEALTH-GOLD,HG-2023-001,HEALTH,EXCLUSIONS,17,"Any expense incurred on treatment of external congenital disease, defect, or anomaly including birth defects is excluded from coverage."
hc-015,POL-HEALTH-GOLD,HG-2023-001,HEALTH,SUB_LIMITS,24,"Ambulance charges for emergency transportation to the nearest hospital are covered up to INR 5,000 per hospitalisation. Air ambulance charges are covered up to INR 1,00,000 per policy year."
hc-016,POL-HEALTH-GOLD,HG-2023-001,HEALTH,MAIN_POLICY,9,Domiciliary hospitalisation is covered when the patient cannot be moved to a hospital or when a hospital bed is not available. Treatment must last more than 3 days to qualify as domiciliary hospitalisation.
hc-017,POL-HEALTH-GOLD,HG-2023-001,HEALTH,MAIN_POLICY,10,"Maternity expenses including pre- and post-natal care, delivery charges for normal delivery up to INR 30,000 and caesarean section up to INR 50,000 are covered after a 9-month waiting period."
hc-018,POL-HEALTH-GOLD,HG-2023-001,HEALTH,WAITING_PERIODS,11,Newborn baby cover from day one of birth is included provided the mother is already covered under the policy and maternity expenses are admissible.
hc-019,POL-HEALTH-GOLD,HG-2023-001,HEALTH,MAIN_POLICY,11,Organ donor expenses for a living donor are covered under the donee's policy for harvesting of the organ. The donor must be a registered living donor as per the Transplantation of Human Organs Act.
hc-020,POL-HEALTH-GOLD,HG-2023-001,HEALTH,SUB_LIMITS,25,"Mental illness hospitalisation as per the Mental Healthcare Act 2017 is covered up to INR 75,000 per policy year for minimum 3-day hospitalisation at a recognised psychiatric centre."
hc-021,POL-HEALTH-GOLD,HG-2023-001,HEALTH,MAIN_POLICY,12,"Emergency domestic medical evacuation including air ambulance is covered up to INR 2,00,000 per event for life-threatening conditions requiring transfer to an advanced medical facility."
hc-022,POL-HEALTH-GOLD,HG-2023-001,HEALTH,EXCLUSIONS,18,"Expenses arising out of participation in hazardous activities including mountaineering, deep sea diving, motor racing, and contact sports are excluded from coverage."
hc-023,POL-HEALTH-GOLD,HG-2023-001,HEALTH,MAIN_POLICY,13,"Critical illness benefit of INR 5,00,000 is payable as a lump sum on first diagnosis of any listed critical illness including cancer, organ failure, stroke, and multiple sclerosis."
hc-024,POL-HEALTH-GOLD,HG-2023-001,HEALTH,SUB_LIMITS,26,"Physiotherapy charges are covered up to INR 1,500 per session and INR 30,000 per policy year when recommended by a specialist physician for post-surgical rehabilitation."
hc-025,POL-HEALTH-GOLD,HG-2023-001,HEALTH,EXCLUSIONS,19,Refractive error correction including LASIK surgery is excluded from coverage unless the refractive error exceeds 7.5 dioptres in both eyes.
hc-026,POL-HEALTH-GOLD,HG-2023-001,HEALTH,MAIN_POLICY,14,Cashless facility is available at all network hospitals listed in the insurer's panel. Prior authorisation must be obtained at least 48 hours before planned hospitalisation or within 24 hours of emergency admission.
hc-027,POL-HEALTH-GOLD,HG-2023-001,HEALTH,MAIN_POLICY,15,All claims must be intimated to the insurer within 48 hours of emergency hospitalisation and within 72 hours before planned hospitalisation. Late intimation may result in a 20% reduction in claim settlement.
hc-028,POL-HEALTH-GOLD,HG-2023-001,HEALTH,SUB_LIMITS,27,"Bariatric surgery for treatment of morbid obesity is covered up to INR 2,50,000 per lifetime, subject to BMI exceeding 40 or BMI exceeding 35 with comorbidities, after 3 years of policy inception."
hc-029,POL-HEALTH-GOLD,HG-2023-001,HEALTH,CO_PAYMENT,19,"Treatment at a non-network hospital attracts a co-payment of 30% of the admissible claim amount. At a network hospital, no co-payment applies except as specified under the age co-payment clause."
hc-030,POL-HEALTH-GOLD,HG-2023-001,HEALTH,MAIN_POLICY,16,"Ayurvedic, Unani, Siddha, and Homeopathic (AYUSH) treatment is covered up to 25% of the sum insured or INR 50,000 whichever is lower, at a government-approved AYUSH hospital."
hc-031,POL-HEALTH-SILVER,HG-2022-001,HEALTH,MAIN_POLICY,5,"In-patient hospitalisation for surgical procedures is covered up to the sum insured of INR 3,00,000 per policy year for individual policyholders and INR 5,00,000 for family floater plans."
hc-032,POL-HEALTH-SILVER,HG-2022-001,HEALTH,EXCLUSIONS,12,"Experimental treatments, investigational drugs, and procedures not approved by the Drug Controller General of India are excluded from coverage."
hc-033,POL-HEALTH-SILVER,HG-2022-001,HEALTH,WAITING_PERIODS,8,Diabetes and its complications are covered after completion of 24 months of continuous policy coverage. Insulin-dependent diabetes mellitus coverage begins after 36 months.
hc-034,POL-HEALTH-SILVER,HG-2022-001,HEALTH,SUB_LIMITS,18,"In-vitro fertilisation (IVF) treatment is covered up to INR 1,00,000 per lifetime after 3 years of continuous policy coverage. Maximum of 2 IVF cycles are covered per couple."
hc-035,POL-HEALTH-SILVER,HG-2022-001,HEALTH,MAIN_POLICY,6,"Health check-up expenses up to INR 5,000 per insured per year are reimbursable at renewal, provided no claim has been made during the policy year."
hc-036,POL-HEALTH-SILVER,HG-2022-001,HEALTH,MAIN_POLICY,7,"No Claim Bonus of 10% of sum insured shall be added for each claim-free year, subject to a maximum cumulative bonus of 50% of the original sum insured."
hc-037,POL-HEALTH-SILVER,HG-2022-001,HEALTH,EXCLUSIONS,13,Treatment outside India is not covered under this policy unless specifically endorsed as International Cover. Domestic policies are restricted to medical facilities within Indian territory.
hc-038,POL-HEALTH-SILVER,HG-2022-001,HEALTH,CO_PAYMENT,15,A co-payment of 10% of each claim applies for insured members residing in non-metropolitan Tier 2 and Tier 3 cities with access to government hospitals within 10 km.
hc-039,POL-HEALTH-SILVER,HG-2022-001,HEALTH,SUB_LIMITS,19,"Dialysis sessions are covered at INR 2,500 per session at network dialysis centres. Home dialysis equipment rental is covered up to INR 5,000 per month for end-stage renal disease patients."
hc-040,POL-HEALTH-SILVER,HG-2022-001,HEALTH,WAITING_PERIODS,9,"Spinal surgery including laminectomy, discectomy, and spinal fusion is subject to a 24-month waiting period from policy inception unless arising from an accident within the policy period."
hc-041,POL-HEALTH-SILVER,HG-2022-001,HEALTH,MAIN_POLICY,10,"Chemotherapy, radiotherapy, and targeted therapy for cancer are covered under in-patient and day care basis up to INR 5,00,000 per policy year, with prior medical authorisation required."
hc-042,POL-HEALTH-SILVER,HG-2022-001,HEALTH,EXCLUSIONS,14,"Vaccination, inoculation, or immunisation charges are excluded from coverage unless the vaccination is necessitated by a notified epidemic or post-exposure prophylaxis following animal bite."
hc-043,POL-HEALTH-SILVER,HG-2022-001,HEALTH,MAIN_POLICY,11,"Cochlear implant surgery is covered up to INR 2,50,000 per lifetime for profoundly deaf children below the age of 5 years, subject to recommendation by an ENT specialist at a tertiary care centre."
hc-044,POL-HEALTH-SILVER,HG-2022-001,HEALTH,SUB_LIMITS,20,"Robotic surgery charges are reimbursable up to the equivalent open or laparoscopic procedure cost. Any additional charges for robotic technology are subject to a INR 50,000 per episode cap."
hc-045,POL-HEALTH-SILVER,HG-2022-001,HEALTH,MAIN_POLICY,12,"Telemedicine consultation fees are reimbursable up to INR 500 per consultation and INR 5,000 per policy year when the consultation is conducted via an insurer-approved digital health platform."
hc-046,POL-HEALTH-SILVER,HG-2022-001,HEALTH,WAITING_PERIODS,10,"Hernia (all types including inguinal, hiatus, and umbilical) and hydrocele repair are subject to a 24-month waiting period unless arising from an accidental injury during the policy period."
hc-047,POL-HEALTH-SILVER,HG-2022-001,HEALTH,MAIN_POLICY,13,"Personal accident rider: accidental death benefit of 2x sum insured, permanent total disability benefit of 1.5x sum insured, and permanent partial disability benefits on a graduated scale are payable."
hc-048,POL-HEALTH-SILVER,HG-2022-001,HEALTH,EXCLUSIONS,15,"Charges for spectacles, contact lenses, hearing aids, prosthetic devices, and other external medical equipment are excluded from coverage unless arising from an accidental bodily injury."
hc-049,POL-HEALTH-SILVER,HG-2022-001,HEALTH,CO_PAYMENT,16,Senior citizen policies (primary insured above 65 years) attract a 25% co-payment on all claims. This co-payment is mandatory and cannot be waived by payment of additional premium.
hc-050,POL-HEALTH-SILVER,HG-2022-001,HEALTH,MAIN_POLICY,14,"Hospital daily cash benefit of INR 1,000 per day is payable for each day of hospitalisation beyond 48 hours, up to a maximum of 30 days per policy year, at a network hospital."
vc-001,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,3,"Own damage cover reimburses loss or damage to the insured vehicle caused by accident, fire, self-ignition, lightning, explosion, theft, riot, strike, or natural calamities including flood and cyclone."
vc-002,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,9,Damage when the vehicle is driven by a person not holding a valid and effective driving licence at the time of the incident is not covered under this policy.
vc-003,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,10,Damage caused due to driving under the influence of alcohol or drugs is completely excluded from coverage.
vc-004,POL-MOTOR-COMP,MV-2023-001,VEHICLE,SUB_LIMITS,12,"A compulsory deductible of INR 1,000 for private cars and INR 2,500 for commercial vehicles applies to every own-damage claim."
vc-005,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,5,"In case of total loss or constructive total loss, the settlement shall be based on the Insured Declared Value (IDV) at the time of policy inception, less the applicable depreciation and compulsory deductible."
vc-006,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,6,"Depreciation schedule: Rubber/nylon/plastic parts 50%; fibre glass 30%; glass parts nil; all other parts for vehicles less than 6 months old nil, 6-12 months 5%, 1-2 years 10%, 2-3 years 15%."
vc-007,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,11,"Mechanical or electrical breakdown, failure, or breakage is not covered under this policy. Tyre bursts and tyre damage are covered at 50% of replacement cost."
vc-008,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,7,"Third party liability cover is mandatory under the Motor Vehicles Act 1988. Unlimited liability for third party bodily injury and death. INR 7,50,000 for third party property damage per incident."
vc-009,POL-MOTOR-COMP,MV-2023-001,VEHICLE,SUB_LIMITS,13,"Towing charges in the event of an accident or breakdown are reimbursable up to INR 1,500 for private cars and INR 2,000 for commercial vehicles per incident."
vc-010,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,12,Damage to or loss of accessories by theft without concurrent theft of the vehicle itself is not covered unless accessories are specifically endorsed and the vehicle is comprehensively insured.
vc-011,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,8,"Personal accident cover of INR 15,00,000 for the owner-driver is mandatory as per IRDAI guidelines. Additional PA cover for co-passengers up to INR 2,00,000 per person is available as an add-on."
vc-012,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,13,"Consequential loss, depreciation, wear and tear, and mechanical breakdown are excluded. Loss due to war, nuclear risks, and confiscation by authorities is also excluded."
vc-013,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,9,The insured must file a First Information Report (FIR) with the police within 24 hours of theft. Non-filing of FIR will render the theft claim inadmissible.
vc-014,POL-MOTOR-COMP,MV-2023-001,VEHICLE,SUB_LIMITS,14,Garage cash benefit: INR 500 per day for up to 14 days if the vehicle is under authorised workshop repair following an own-damage claim. Available only for policies with this add-on.
vc-015,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,14,"Damage to the vehicle when used for racing, speed testing, pace-making, or for hire and reward purposes other than as endorsed on the certificate of insurance is excluded."
vc-016,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,10,"Zero depreciation cover (Nil depreciation endorsement) when opted, entitles the insured to receive full cost of replacement parts without any depreciation deduction, except for tyres and batteries."
vc-017,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,11,"Return to invoice cover when opted: in case of total loss or theft, the claim is settled at the original invoice value of the vehicle including registration, road tax, and insurance charges."
vc-018,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,15,Engine damage due to water ingression in areas with standing water where the driver chose to drive despite visible flooding is excluded unless hydrostatic lock cover is specifically endorsed.
vc-019,POL-MOTOR-COMP,MV-2023-001,VEHICLE,SUB_LIMITS,15,"Key replacement cover reimburses up to INR 10,000 for duplicate key fabrication and lock replacement when the vehicle keys are lost, stolen, or damaged."
vc-020,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,12,"No Claim Bonus (NCB) of 20% for 1 claim-free year, 25% for 2 years, 35% for 3 years, 45% for 4 years, and 50% for 5 or more consecutive claim-free years applies on own damage premium."
vc-021,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,16,Loss or damage to the insured vehicle if it is used or driven beyond the geographical limits specified in the policy certificate is excluded from coverage.
vc-022,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,13,"Roadside assistance cover (24x7) includes emergency towing, flat tyre assistance, fuel delivery, battery jump-start, and locksmith services within 50 km of any major city or highway."
vc-023,POL-MOTOR-COMP,MV-2023-001,VEHICLE,SUB_LIMITS,16,"Consumable expenses cover reimburses cost of nuts, bolts, engine oil, brake fluid, and other consumable items consumed during authorised repairs following an own-damage claim."
vc-024,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,14,All accidental claims must be reported to the insurer within 24 hours of the incident. Repair work should not commence before a surveyor's inspection unless the vehicle poses a safety hazard.
vc-025,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,17,Damage to the vehicle when loaded beyond its permitted carrying capacity as per the vehicle registration certificate is excluded from own damage coverage.
vc-026,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,15,"Commercial vehicle owner liability: The insured owner is entitled to legal defence cost reimbursement up to INR 50,000 per incident for defence against third party bodily injury or death claims."
vc-027,POL-MOTOR-COMP,MV-2023-001,VEHICLE,SUB_LIMITS,17,"Cost of hiring a replacement vehicle (rent-a-car benefit) of up to INR 1,500 per day for a maximum of 15 days is available during the period the insured vehicle is under authorised repair."
vc-028,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,18,"Loss or damage arising from confiscation, detention, destruction, or requisition by any government or public authority is excluded from coverage."
vc-029,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,16,"Electric vehicles: Battery pack replacement due to accidental damage is covered up to INR 2,00,000 per incident. Gradual capacity degradation is excluded. Charging equipment theft is covered up to INR 20,000."
vc-030,POL-MOTOR-COMP,MV-2023-001,VEHICLE,SUB_LIMITS,18,"PA cover for unnamed passengers: In case of accidental death or permanent total disability of any passenger, INR 1,00,000 per person is payable, subject to vehicle seating capacity and the named driver provision."
vc-031,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,17,"The insured may select any IRDAI-authorised garage for repairs. However, cash settlement without garage repair is available only for minor damages below INR 5,000 after surveyor assessment."
vc-032,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,19,Damage or loss when the insured vehicle is left unattended with keys inside is excluded from theft coverage.
vc-033,POL-MOTOR-COMP,MV-2023-001,VEHICLE,SUB_LIMITS,19,Comprehensive repair at a manufacturer-authorised dealer attracts no depreciation on parts for vehicles up to 5 years old under the assured repair network programme.
vc-034,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,18,Flood damage to the engine and transmission requires that the driver attempted to start the vehicle after visible water ingress to constitute valid claim. Photographs of the flood level must be submitted.
vc-035,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,20,Damage caused by a driver who is below the minimum age of 18 years or does not hold a valid learner's licence when driving without a licensed supervisor is excluded.
vc-036,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,19,"Spot settlement for own damage claims up to INR 25,000 is available through the insurer's app following upload of minimum 5 photographs of the damage with geo-tag and timestamp."
vc-037,POL-MOTOR-COMP,MV-2023-001,VEHICLE,SUB_LIMITS,20,"Alloy wheel damage due to pothole impact or road hazard is covered under the wheel protection add-on up to INR 5,000 per wheel and INR 20,000 per policy year."
vc-038,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,20,"For commercial vehicles including goods carriers, own damage cover extends to loss of goods in transit due to vehicle accident, subject to submission of goods receipt and delivery challan."
vc-039,POL-MOTOR-COMP,MV-2023-001,VEHICLE,EXCLUSIONS,21,Damage to CNG or LPG kits and cylinders is excluded unless the kit is certified by an authorised workshop and the endorsement for CNG or LPG vehicle has been made on the policy.
vc-040,POL-MOTOR-COMP,MV-2023-001,VEHICLE,MAIN_POLICY,21,The insured must cooperate with the investigator appointed by the insurer. Non-cooperation or submission of false information will render the claim void and may result in policy cancellation.
lc-001,POL-LIFE-TERM,LT-2023-001,LIFE,MAIN_POLICY,4,"On the death of the Life Insured during the policy term, the Sum Assured shall be paid to the nominated beneficiary, provided the policy is in force and all due premiums have been paid."
lc-002,POL-LIFE-TERM,LT-2023-001,LIFE,EXCLUSIONS,11,Death due to suicide within 12 months from the date of risk commencement or the date of revival shall not be covered. 80% of the premiums paid shall be returned to the nominee.
lc-003,POL-LIFE-TERM,LT-2023-001,LIFE,MAIN_POLICY,5,A grace period of 30 days is available for payment of annual premiums. The policy shall be in force during the grace period. Death during the grace period is payable after deduction of overdue premium.
lc-004,POL-LIFE-TERM,LT-2023-001,LIFE,WAITING_PERIODS,8,A free look period of 30 days is available from the date of receipt of the policy document to review the terms and conditions. The policy may be returned during this period for a full refund.
lc-005,POL-LIFE-TERM,LT-2023-001,LIFE,EXCLUSIONS,12,"Death due to participation in hazardous activities including skydiving, bungee jumping, and motor racing is excluded unless a hazardous activity rider premium has been paid."
lc-006,POL-LIFE-TERM,LT-2023-001,LIFE,MAIN_POLICY,6,"For maturity benefit claims, the Sum Assured plus accrued bonuses shall be payable to the policyholder on the maturity date, provided the policy is in full force and all premiums are paid."
lc-007,POL-LIFE-TERM,LT-2023-001,LIFE,MAIN_POLICY,7,"The nominee must submit a death certificate issued by a competent authority, a completed claim form, and the original policy bond within 90 days of the date of death."
lc-008,POL-LIFE-TERM,LT-2023-001,LIFE,EXCLUSIONS,13,"Death directly or indirectly caused by, contributed to, or aggravated by involvement in any unlawful act or criminal offence by the life insured is excluded from coverage."
lc-009,POL-LIFE-TERM,LT-2023-001,LIFE,MAIN_POLICY,8,Revival of a lapsed policy is permitted within 5 years of the date of first unpaid premium. Revival requires payment of all outstanding premiums with interest and submission of a satisfactory health declaration.
lc-010,POL-LIFE-TERM,LT-2023-001,LIFE,MAIN_POLICY,9,"Critical Illness Accelerated Benefit: On diagnosis of a listed critical illness, 50% of the Sum Assured is paid immediately as an advance. The remaining 50% is payable on death of the life insured."
lc-011,POL-LIFE-TERM,LT-2023-001,LIFE,EXCLUSIONS,14,"Death caused by war, civil war, invasion, or act of foreign enemy, whether war is declared or not, is excluded from all coverage under this policy."
lc-012,POL-LIFE-TERM,LT-2023-001,LIFE,MAIN_POLICY,10,"Accidental death benefit rider: In case of death due to an accident, an additional Sum Assured equal to the base policy Sum Assured is payable in addition to the basic death benefit."
lc-013,POL-LIFE-TERM,LT-2023-001,LIFE,WAITING_PERIODS,9,"For death claims occurring within the first 3 years of policy inception, the insurer reserves the right to investigate the cause of death and may request additional medical evidence."
lc-014,POL-LIFE-TERM,LT-2023-001,LIFE,MAIN_POLICY,11,Loan against policy: Policyholders may avail a loan up to 90% of the surrender value after 3 policy years. Interest is charged at 9% per annum and must be cleared before claim settlement.
lc-015,POL-LIFE-TERM,LT-2023-001,LIFE,EXCLUSIONS,15,"Death caused directly or indirectly by participation in any riot, civil commotion, or active military service is excluded unless specific war risk cover has been endorsed."
lc-016,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,4,Endowment policy maturity benefit: The Sum Assured plus bonus additions accrued over the policy term is payable on survival of the life insured to the maturity date.
lc-017,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,5,"Money-back policy: Survival benefits of 20% of Sum Assured are payable every 5 years during the policy term. The residual Sum Assured plus bonus is payable on maturity or death, whichever is earlier."
lc-018,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,6,"Premium waiver rider: All future premiums are waived off in case of permanent total disability of the policyholder due to accident, and the policy continues in force until maturity."
lc-019,POL-LIFE-ENDOW,LT-2022-001,LIFE,EXCLUSIONS,10,Misrepresentation or suppression of material facts including pre-existing health conditions at the time of proposal will render the policy void and claims will be repudiated.
lc-020,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,7,ULIP policies: Fund value at NAV on date of death claim or maturity is payable. Fund switching is allowed 12 times per year at no cost. Fund management charges must not exceed 1.35% per annum.
lc-021,POL-LIFE-ENDOW,LT-2022-001,LIFE,WAITING_PERIODS,8,"For ULIP policies, a lock-in period of 5 years from policy inception applies. Partial withdrawal before 5 years is not permitted. After 5 years, up to 25% of fund value can be withdrawn annually."
lc-022,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,8,"Surrender value: Policies with 3 or more years of premiums paid are entitled to a guaranteed surrender value of 30% of total premiums paid, excluding first year premium and any additional premiums."
lc-023,POL-LIFE-ENDOW,LT-2022-001,LIFE,EXCLUSIONS,11,"Death of the life insured while under the influence of narcotics, drugs, or alcohol as evidenced by blood report is excluded from life coverage."
lc-024,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,9,"Terminal illness benefit: If the life insured is diagnosed with a terminal illness with life expectancy of less than 12 months, 50% of Sum Assured is payable immediately as an advance death benefit."
lc-025,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,10,"Child education plan rider: On death of the proposer, future premiums are waived and the child receives the stipulated education sum at ages 18, 20, and 22 years irrespective of survival of the insured."
lc-026,POL-LIFE-ENDOW,LT-2022-001,LIFE,EXCLUSIONS,12,Death within 45 days of policy commencement due to any illness (not accident) shall not be covered under term plans. Accidental death is covered from day one.
lc-027,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,11,Nomination: The policyholder must nominate a beneficiary in the proposal form. Nomination may be changed at any time before a claim arises by submitting a nomination change form to the insurer.
lc-028,POL-LIFE-ENDOW,LT-2022-001,LIFE,WAITING_PERIODS,9,Early claim investigation: Claims arising within 2 years of policy commencement or revival are subject to thorough investigation including medical examination of past health records and attending physician statements.
lc-029,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,12,"Group life insurance: In case of employer-employee group plans, the master policyholder is the employer. Certificates of insurance are issued to each member. Claim settlement is routed through the employer."
lc-030,POL-LIFE-ENDOW,LT-2022-001,LIFE,EXCLUSIONS,13,Death by self-inflicted injury other than suicide (such as self-harm not resulting in death) that permanently disables the insured is not covered under the permanent disability rider.
lc-031,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,13,The policyholder may assign the policy to a bank or financial institution as collateral for a home loan. The assignee has priority in claim settlement over the nominee during the assignment period.
lc-032,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,14,"Claim documents required for death benefit: Death certificate, claimant's statement, original policy bond, attending physician's certificate, FIR or post-mortem report in case of unnatural death."
lc-033,POL-LIFE-ENDOW,LT-2022-001,LIFE,WAITING_PERIODS,10,"Medical underwriting: Applications for Sum Assured above INR 50,00,000 require a medical examination including full blood count, lipid profile, ECG, and physician's statement."
lc-034,POL-LIFE-ENDOW,LT-2022-001,LIFE,MAIN_POLICY,15,"Double accident benefit rider: In case of accidental death, double the Sum Assured is payable. In case of permanent total disability due to accident, the Sum Assured equivalent is payable as lump sum."
lc-035,POL-LIFE-ENDOW,LT-2022-001,LIFE,EXCLUSIONS,14,HIV/AIDS and any condition directly attributable to HIV infection is excluded from death and critical illness coverage unless specifically covered under a special rider with additional premium.
hmr-001,POL-HOME-COMP,HO-2023-001,HOME,MAIN_POLICY,3,"The structure of the building including foundations, walls, floors, roof, and permanent fixtures is covered against loss or damage caused by fire, lightning, explosion, riot, storm, flood, and earthquake."
hmr-002,POL-HOME-COMP,HO-2023-001,HOME,EXCLUSIONS,8,"Damage due to gradual deterioration, wear and tear, rust, corrosion, or any gradually operating cause is excluded from this policy."
hmr-003,POL-HOME-COMP,HO-2023-001,HOME,EXCLUSIONS,9,Loss or damage caused by subsidence of land or landslip is not covered unless specifically endorsed on this policy by payment of additional premium.
hmr-004,POL-HOME-COMP,HO-2023-001,HOME,SUB_LIMITS,14,The maximum liability under theft of contents shall not exceed 25% of the contents sum insured in any one policy year. Jewellery and valuable items need a separate floater policy.
hmr-005,POL-HOME-COMP,HO-2023-001,HOME,MAIN_POLICY,5,"In the event of total loss, the settlement shall be on reinstatement value basis for structures and market value basis for contents, unless reinstatement basis is specifically opted at inception."
hmr-006,POL-HOME-COMP,HO-2023-001,HOME,EXCLUSIONS,10,Loss or damage occurring when the building is unoccupied for more than 30 consecutive days is excluded unless the insurer has been notified and an endorsement has been issued.
hmr-007,POL-HOME-COMP,HO-2023-001,HOME,MAIN_POLICY,6,"Public liability cover of INR 5,00,000 is included to cover the policyholder's legal liability for bodily injury or property damage to third parties occurring at the insured premises."
